tiempo_relativo_s,valor_crudo
6.28525710105896,-67428.0
6.303778648376465,-67458.0
6.304286956787109,-67489.0
6.310225248336792,-67513.0
6.338498830795288,-67540.0
6.339045524597168,-67574.0
6.339515209197998,-67605.0
6.360994100570679,-67634.0
6.361607789993286,-67671.0
6.38427996635437,-67683.0
6.3933799266815186,-67700.0
6.394302845001221,-67700.0
6.419078350067139,-67700.0
6.419966697692871,-67679.0
6.420426607131958,-67653.0
6.453525543212891,-67617.0
6.4540956020355225,-67591.0
6.454582214355469,-67556.0
6.459430456161499,-67547.0
6.483872890472412,-67539.0
6.484519004821777,-67548.0
6.509490013122559,-67551.0
6.516388416290283,-67563.0
6.547292470932007,-67571.0
6.547956466674805,-67592.0
6.55036735534668,-67606.0
6.563647747039795,-67618.0
6.564228773117065,-67628.0
6.570356130599976,-67607.0
6.5731871128082275,-67530.0
6.589985609054565,-67391.0
6.590427875518799,-67248.0
6.599215984344482,-67145.0
6.6262757778167725,-67068.0
6.626798391342163,-67020.0
6.644689083099365,-66979.0
6.645318984985352,-66969.0
6.649362087249756,-66957.0
6.681243658065796,-66964.0
6.683216571807861,-66969.0
6.683744192123413,-66986.0
6.703180313110352,-67005.0
6.703711748123169,-67027.0
6.709463834762573,-67039.0
6.736886024475098,-67062.0
6.737390518188477,-67071.0
6.755584001541138,-67086.0
6.756532430648804,-67088.0
6.7604663372039795,-67098.0
6.780015468597412,-67093.0
6.7804577350616455,-67111.0
6.79057765007019,-67111.0
6.8119752407073975,-67126.0
6.812577724456787,-67128.0
6.8201189041137695,-67144.0
6.858162879943848,-67149.0
6.861440658569336,-67156.0
6.86334490776062,-67153.0
6.890320301055908,-67154.0
6.891986846923828,-67148.0
6.8933939933776855,-67144.0
6.89426064491272,-67135.0
6.919841051101685,-67142.0
6.920473098754883,-67129.0
6.921268463134766,-67134.0
6.93103289604187,-67122.0
6.966706037521362,-67136.0
6.967551231384277,-67129.0
6.968306303024292,-67144.0
6.970021963119507,-67146.0
7.01270318031311,-67164.0
7.01349139213562,-67166.0
7.014444589614868,-67183.0
7.018727779388428,-67182.0
7.055298089981079,-67195.0
7.05604362487793,-67200.0
7.056854963302612,-67213.0
7.085905075073242,-67214.0
7.093771457672119,-67227.0
7.094417095184326,-67230.0
7.095305919647217,-67239.0
7.09722900390625,-67237.0
