timestamp,Red,IR
1760728284.2711275,53415.0,68122.0
1760728284.3111258,53466.0,68286.0
1760728284.351115,53524.0,68452.0
1760728284.391096,53571.0,68564.0
1760728284.431123,53609.0,68660.0
1760728284.4711,53636.0,68781.0
1760728284.5111148,53670.0,68786.0
1760728284.5511549,53570.0,68178.0
1760728284.5911036,53326.0,67423.0
1760728284.631117,53117.0,67049.0
1760728284.6711166,53084.0,67126.0
1760728284.7111044,53134.0,67291.0
1760728284.7509193,53202.0,67543.0
1760728284.7910528,53291.0,67780.0
1760728284.8310525,53339.0,67845.0
1760728284.8710494,53344.0,67870.0
1760728284.9109747,53357.0,67917.0
1760728284.9510534,53376.0,68025.0
1760728284.991095,53425.0,68190.0
1760728285.0310516,53479.0,68370.0
1760728285.0710974,53530.0,68508.0
1760728285.1097593,53567.0,68640.0
1760728285.1500888,53619.0,68751.0
1760728285.1899877,53644.0,68848.0
1760728285.230052,53682.0,68856.0
1760728285.2700512,53567.0,68182.0
1760728285.3100467,53306.0,67405.0
1760728285.350046,53104.0,67073.0
1760728285.3899698,53077.0,67127.0
1760728285.4301114,53119.0,67289.0
1760728285.4700477,53183.0,67584.0
1760728285.5100336,53281.0,67806.0
1760728285.550018,53321.0,67880.0
1760728285.5899532,53335.0,67876.0
1760728285.6300235,53337.0,67891.0
1760728285.6700242,53345.0,67973.0
1760728285.7100255,53385.0,68124.0
1760728285.750012,53443.0,68281.0
1760728285.7899308,53491.0,68450.0
1760728285.829964,53544.0,68581.0
1760728285.8699937,53583.0,68679.0
1760728285.9099953,53611.0,68747.0
1760728285.948804,53605.0,68530.0
1760728285.9888575,53417.0,67705.0
1760728286.0289996,53126.0,66844.0
1760728286.0688293,52937.0,66598.0
1760728286.1089947,52926.0,66687.0
1760728286.1490018,52965.0,66861.0
1760728286.188801,53040.0,67152.0
1760728286.2286446,53132.0,67315.0
1760728286.2690008,53158.0,67349.0
1760728286.3088343,53150.0,67325.0
1760728286.3487656,53145.0,67351.0
1760728286.388995,53160.0,67429.0
1760728286.4288216,53196.0,67566.0
1760728286.4687934,53247.0,67710.0
1760728286.508687,53291.0,67868.0
1760728286.5487037,53338.0,67984.0
1760728286.5890906,53372.0,68086.0
1760728286.6290393,53408.0,68198.0
1760728286.668936,53434.0,68115.0
1760728286.70897,53297.0,67387.0
1760728286.7487726,53007.0,66604.0
1760728286.7889645,52835.0,66424.0
1760728286.8279617,52844.0,66544.0
1760728286.8681269,52893.0,66747.0
1760728286.9078214,52980.0,67051.0
1760728286.9478846,53078.0,67246.0
1760728286.98802,53107.0,67293.0
1760728287.0279808,53113.0,67291.0
1760728287.0680184,53124.0,67346.0
1760728287.1079636,53156.0,67480.0
1760728287.1474926,53198.0,67647.0
1760728287.1880398,53260.0,67838.0
1760728287.2279477,53316.0,68026.0
1760728287.267943,53371.0,68188.0
1760728287.3079963,53425.0,68319.0
1760728287.347994,53468.0,68420.0
1760728287.3879454,53504.0,68564.0
1760728287.427655,53525.0,68289.0
1760728287.4679272,53298.0,67440.0
1760728287.5079997,53014.0,66712.0
1760728287.548013,52877.0,66603.0
1760728287.5879283,52899.0,66755.0
1760728287.6280847,52951.0,66970.0
1760728287.6669292,53037.0,67266.0
1760728287.7069602,53126.0,67431.0
1760728287.7466545,53150.0,67441.0
1760728287.7870092,53153.0,67456.0
1760728287.8269517,53164.0,67516.0
1760728287.8667827,53196.0,67654.0
1760728287.906549,53246.0,67812.0
1760728287.9467437,53302.0,67994.0
1760728287.9867153,53366.0,68179.0
1760728288.0268972,53418.0,68311.0
1760728288.0669458,53449.0,68425.0
1760728288.1069033,53476.0,68500.0
1760728288.1469657,53502.0,68578.0
1760728288.186904,53541.0,68702.0
1760728288.2269034,53569.0,68610.0
1760728288.2666833,53406.0,67799.0
1760728288.3066986,53106.0,66903.0
1760728288.3468885,52886.0,66601.0
1760728288.38689,52883.0,66692.0
1760728288.4268854,52919.0,66868.0
1760728288.4668798,52987.0,67133.0
1760728288.5056758,53070.0,67354.0
1760728288.5483701,53120.0,67408.0
1760728288.5857902,53129.0,67432.0
1760728288.625912,53152.0,67524.0
1760728288.665875,53177.0,67627.0
1760728288.7057576,53225.0,67797.0
1760728288.7457416,53291.0,67981.0
1760728288.7856889,53341.0,68156.0
1760728288.8257856,53403.0,68315.0
1760728288.8658624,53438.0,68417.0
1760728288.9058867,53469.0,68513.0
1760728288.9459288,53496.0,68567.0
1760728288.9858613,53511.0,68642.0
1760728289.0258663,53553.0,68733.0
1760728289.065698,53574.0,68740.0
1760728289.1058915,53479.0,68040.0
1760728289.1465032,53178.0,67103.0
1760728289.1855621,52913.0,66595.0
1760728289.2258418,52844.0,66608.0
1760728289.2658415,52882.0,66753.0
1760728289.3059661,52939.0,66966.0
1760728289.3448403,53010.0,67195.0
1760728289.3848515,53066.0,67265.0
1760728289.424839,53059.0,67226.0
1760728289.4648545,53059.0,67247.0
1760728289.5048285,53074.0,67317.0
1760728289.544585,53115.0,67446.0
1760728289.5849075,53159.0,67598.0
